date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:10:52	2434/2434	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:05%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fat-the-table%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed1a64.json	(from http://video.sproutfund.org/at-the-table/)
13:10:52	2570/2570	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2017:10:50%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fat-the-table%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed722e	(from http://video.sproutfund.org/at-the-table/)
13:10:52	12291/12291	---MC-	200	added ('OK')	application/rss+xml	etag:%22da4022eb69d23d1a33b081e69f395423-gzip%22	http://video.sproutfund.org/author/sproutfund/feed/	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/author/sproutfund/feed/index.html	(from http://video.sproutfund.org/author/sproutfund/)
13:10:52	2520/2520	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:07%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fbetween-a-stone-and-a-shrine%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed3200.json	(from http://video.sproutfund.org/between-a-stone-and-a-shrine/)
13:10:52	2656/2656	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2017:10:51%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fbetween-a-stone-and-a-shrine%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embedc3d6	(from http://video.sproutfund.org/between-a-stone-and-a-shrine/)
13:10:53	2484/2484	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:09%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fbloomfield-documentary%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed721f.json	(from http://video.sproutfund.org/bloomfield-documentary/)
13:10:54	2581/2581	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:10%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Feast-of-liberty-communities-without%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed8cd7.json	(from http://video.sproutfund.org/east-of-liberty-communities-without/)
13:10:54	2620/2620	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2017:10:52%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fbloomfield-documentary%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed27fa	(from http://video.sproutfund.org/bloomfield-documentary/)
13:10:54	2723/2723	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2017:10:52%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Feast-of-liberty-communities-without%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed0450	(from http://video.sproutfund.org/east-of-liberty-communities-without/)
13:10:55	2490/2490	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:11%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fgabis-playdate-place%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed4ac0.json	(from http://video.sproutfund.org/gabis-playdate-place/)
