date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:51	10056/10056	U-----	200	untouched ('OK')	application/x-javascript	etag:W/%22573eaa90-2748%22	http://video.sproutfund.org/wp-includes/js/jquery/jquery-migrate.min.js	D:/Backup/WinHTTrack/filmandvideo/wp-includes/js/jquery/jquery-migrate.min.js	(from http://video.sproutfund.org/)
12:50:51	14268/14268	U-----	200	untouched ('OK')	application/x-javascript	etag:W/%2258cab017-37bc%22	http://video.sproutfund.org/wp-content/themes/detube-1.4.7_sproutvideo_2013-11/js/modernizr.min.js	D:/Backup/WinHTTrack/filmandvideo/wp-content/themes/detube-1.4.7_sproutvideo_2013-11/js/modernizr.min.js	(from http://video.sproutfund.org/)
12:50:51	10140/10140	U-----	200	untouched ('OK')	application/x-javascript	etag:W/%2258cab017-279c%22	http://video.sproutfund.org/wp-content/themes/detube-1.4.7_sproutvideo_2013-11/js/jquery.plugins.min.js	D:/Backup/WinHTTrack/filmandvideo/wp-content/themes/detube-1.4.7_sproutvideo_2013-11/js/jquery.plugins.min.js	(from http://video.sproutfund.org/)
12:50:51	1045/1045	U-----	200	untouched ('')	text/xml	etag:W/%2252a8c1b7-415%22	http://video.sproutfund.org/wp-includes/wlwmanifest.xml	D:/Backup/WinHTTrack/filmandvideo/wp-includes/wlwmanifest.xml	(from http://video.sproutfund.org/)
12:50:52	854/854	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2016:50:50%20GMT	http://video.sproutfund.org/xmlrpc.php?rsd	D:/Backup/WinHTTrack/filmandvideo/xmlrpc0db0.php	(from http://video.sproutfund.org/)
12:50:53	2407/2407	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2016:50:50%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/wp-json/oembed/1.0/embed4d6e	(from http://video.sproutfund.org/)
12:50:53	19135/19135	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:50:51%20GMT	http://video.sproutfund.org/most-liked/	D:/Backup/WinHTTrack/filmandvideo/most-liked/index.html	(from http://video.sproutfund.org/)
12:50:54	19146/19146	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:50:51%20GMT	http://video.sproutfund.org/most-viewed/	D:/Backup/WinHTTrack/filmandvideo/most-viewed/index.html	(from http://video.sproutfund.org/)
12:50:54	94386/94386	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:50:51%20GMT	http://video.sproutfund.org/browse/	D:/Backup/WinHTTrack/filmandvideo/browse/index.html	(from http://video.sproutfund.org/)
12:50:55	18914/18914	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:50:52%20GMT	http://video.sproutfund.org/likes/	D:/Backup/WinHTTrack/filmandvideo/likes/index.html	(from http://video.sproutfund.org/)
12:50:55	21355/21355	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:50:52%20GMT	http://video.sproutfund.org/rules/	D:/Backup/WinHTTrack/filmandvideo/rules/index.html	(from http://video.sproutfund.org/)
12:50:56	21327/21327	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:50:53%20GMT	http://video.sproutfund.org/screening-party/	D:/Backup/WinHTTrack/filmandvideo/screening-party/index.html	(from http://video.sproutfund.org/)
12:50:56	20237/20237	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:50:54%20GMT	http://video.sproutfund.org/partners-supporters/	D:/Backup/WinHTTrack/filmandvideo/partners-supporters/index.html	(from http://video.sproutfund.org/)
12:50:57	21159/21159	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:50:54%20GMT	http://video.sproutfund.org/about-sprout/	D:/Backup/WinHTTrack/filmandvideo/about-sprout/index.html	(from http://video.sproutfund.org/)
12:50:58	35708/35708	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:50:55%20GMT	http://video.sproutfund.org/aspie-seeks-love/	D:/Backup/WinHTTrack/filmandvideo/aspie-seeks-love/index.html	(from http://video.sproutfund.org/)
12:50:58	34949/34949	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:50:55%20GMT	http://video.sproutfund.org/fursonas/	D:/Backup/WinHTTrack/filmandvideo/fursonas/index.html	(from http://video.sproutfund.org/)
12:50:58	35988/35988	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:50:55%20GMT	http://video.sproutfund.org/give-us-a-chance-pittsburgh-punk/	D:/Backup/WinHTTrack/filmandvideo/give-us-a-chance-pittsburgh-punk/index.html	(from http://video.sproutfund.org/)
12:50:59	34699/34699	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:50:56%20GMT	http://video.sproutfund.org/dot/	D:/Backup/WinHTTrack/filmandvideo/dot/index.html	(from http://video.sproutfund.org/)
12:50:59	36609/36609	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:50:57%20GMT	http://video.sproutfund.org/gas-rush-stories/	D:/Backup/WinHTTrack/filmandvideo/gas-rush-stories/index.html	(from http://video.sproutfund.org/)
12:51:00	36190/36190	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:50:57%20GMT	http://video.sproutfund.org/granada-refrain-the/	D:/Backup/WinHTTrack/filmandvideo/granada-refrain-the/index.html	(from http://video.sproutfund.org/)
12:51:00	35862/35862	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:50:58%20GMT	http://video.sproutfund.org/kill-the-artist/	D:/Backup/WinHTTrack/filmandvideo/kill-the-artist/index.html	(from http://video.sproutfund.org/)
12:51:01	35861/35861	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2027%20May%202017%2016:50:58%20GMT	http://video.sproutfund.org/madame-presidenta-why-not-us/	D:/Backup/WinHTTrack/filmandvideo/madame-presidenta-why-not-us/index.html	(from http://video.sproutfund.org/)
